stock_code,ticker,corp_code,corp_name,sector,year,revenue,operating_income,net_income,assets,liabilities,equity,current_assets,current_liabilities,cash_and_equivalents,inventories,operating_cash_flow,investing_cash_flow,financing_cash_flow,capex,free_cash_flow,debt_ratio,current_ratio,operating_margin,net_margin,roe,fs_div,revenue_yoy,operating_income_yoy,net_income_yoy,free_cash_flow_yoy,revenue_tn_krw,operating_income_tn_krw,net_income_tn_krw,assets_tn_krw,equity_tn_krw,capex_tn_krw,free_cash_flow_tn_krw
051910,051910.KS,00356361,LG화학,battery,2023,55249785000000.0,2529196000000.0,2053425000000.0,77466694000000.0,36528509000000.0,40938185000000.0,28859296000000.0,18390839000000.0,9084899000000.0,9375327000000.0,7536462000000.0,-13169629000000.0,6157504000000.0,13112770000000.0,-5576308000000.0,89.2285,156.9221,4.5777,3.7166,5.0159,CFS,6.5264,-15.5724,-6.472,,55.2498,2.5292,2.0534,77.4667,40.9382,13.1128,-5.5763
051910,051910.KS,00356361,LG화학,battery,2024,48916104000000.0,916798000000.0,515011000000.0,93857762000000.0,45862299000000.0,47995463000000.0,27815627000000.0,21085717000000.0,7854877000000.0,8847433000000.0,7012339000000.0,-13663386000000.0,4821282000000.0,14779858000000.0,-7767519000000.0,95.5555,131.9169,1.8742,1.0528,1.073,CFS,-11.4637,-63.7514,-74.9194,39.295,48.9161,0.9168,0.515,93.8578,47.9955,14.7799,-7.7675
051910,051910.KS,00356361,LG화학,battery,2025,45932167000000.0,1180900000000.0,-977063000000.0,101061661000000.0,53956116000000.0,47105545000000.0,32526899000000.0,26137148000000.0,9899926000000.0,8177310000000.0,8233859000000.0,-12470600000000.0,6242992000000.0,13856671000000.0,-5622812000000.0,114.543,124.447,2.571,-2.1272,-2.0742,CFS,-6.1001,28.807,-289.7169,-27.6112,45.9322,1.1809,-0.9771,101.0617,47.1055,13.8567,-5.6228
105560,105560.KS,00688996,KB금융,banking,2023,,6435319000000.0,4563431000000.0,715738152000000.0,656864842000000.0,58873310000000.0,,,25826588000000.0,,,,,680565000000.0,,1115.726,,,,7.7513,CFS,,,,,,6.4353,4.5634,715.7382,58.8733,0.6806,
105560,105560.KS,00688996,KB금융,banking,2024,,8045261000000.0,5028606000000.0,757845532000000.0,698030351000000.0,59815181000000.0,,,24608867000000.0,,,,,626909000000.0,,1166.9786,,,,8.4069,CFS,,25.0173,10.1935,,,8.0453,5.0286,757.8455,59.8152,0.6269,
105560,105560.KS,00688996,KB금융,banking,2025,,8517711000000.0,5840715000000.0,797923033000000.0,737093044000000.0,60829989000000.0,,,29020564000000.0,,,,,554969000000.0,,1211.7264,,,,9.6017,CFS,,5.8724,16.1498,,,8.5177,5.8407,797.923,60.83,0.555,
207940,207940.KS,00877059,삼성바이오로직스,bio,2022,3001295197683.0,983627394377.0,798056210082.0,16582050258486.0,7597575863329.0,8984474395157.0,6457656567077.0,4181541561220.0,890819570657.0,2375818961320.0,953047810086.0,-3106477133450.0,3000080259530.0,1009225611010.0,-56177800924.0,84.5634,154.4324,32.7734,26.5904,8.8826,CFS,,,,,3.0013,0.9836,0.7981,16.5821,8.9845,1.0092,-0.0562
207940,207940.KS,00877059,삼성바이오로직스,bio,2023,3694588767068.0,1113680009715.0,857691298384.0,16046197209196.0,6215704796851.0,9830492412345.0,5521987756539.0,4157860817418.0,367937365042.0,2641368466083.0,1666228521442.0,-1566305449622.0,-635049948363.0,1105324663020.0,560903858422.0,63.2288,132.8084,30.1435,23.2148,8.7248,CFS,23.0998,13.2217,7.4725,-1098.444,3.6946,1.1137,0.8577,16.0462,9.8305,1.1053,0.5609
207940,207940.KS,00877059,삼성바이오로직스,bio,2024,4547322176421.0,1320052380133.0,1083315885986.0,17336296349511.0,6431620287493.0,10904676062018.0,5518117814577.0,3853188425809.0,391221617203.0,2818275774375.0,,-1243776304347.0,-433788285231.0,1377525533941.0,,58.9804,143.2091,29.0292,23.8232,9.9344,CFS,23.0806,18.5307,26.306,,4.5473,1.3201,1.0833,17.3363,10.9047,1.3775,
207940,207940.KS,00877059,삼성바이오로직스,bio,2025,4556971695180.0,2069221266630.0,1784352060593.0,11060741976837.0,3609631328852.0,7451110647985.0,4408366515907.0,2532917332501.0,148851266520.0,2128164162722.0,,-1862425927878.0,-620504462845.0,1475073515293.0,,48.4442,174.043,45.4078,39.1565,23.9475,CFS,0.2122,56.753,64.7121,,4.557,2.0692,1.7844,11.0607,7.4511,1.4751,
373220,373220.KS,01515323,LG에너지솔루션,battery,2022,25598609000000.0,1213719000000.0,779826000000.0,38299445000000.0,17705683000000.0,20593762000000.0,18804269000000.0,11444923000000.0,5937967000000.0,6995629000000.0,,,,6298158000000.0,,85.976,164.3023,4.7413,3.0464,3.7867,CFS,,,,,25.5986,1.2137,0.7798,38.2994,20.5938,6.2982,
373220,373220.KS,01515323,LG에너지솔루션,battery,2023,33745470000000.0,2163234000000.0,1637985000000.0,45437144000000.0,21063635000000.0,24373509000000.0,17208396000000.0,10937185000000.0,5068783000000.0,5396336000000.0,4444179000000.0,,,10025317000000.0,-5581138000000.0,86.4202,157.3384,6.4104,4.8539,6.7203,CFS,31.8254,78.2319,110.0449,,33.7455,2.1632,1.638,45.4371,24.3735,10.0253,-5.5811
373220,373220.KS,01515323,LG에너지솔루션,battery,2024,25619585000000.0,575387000000.0,338602000000.0,60306791000000.0,29340248000000.0,30966543000000.0,15327395000000.0,12054922000000.0,3898711000000.0,4552355000000.0,5111700000000.0,-12065447000000.0,5381505000000.0,12520368000000.0,-7408668000000.0,94.7482,127.1464,2.2459,1.3217,1.0934,CFS,-24.0799,-73.4015,-79.3281,32.7448,25.6196,0.5754,0.3386,60.3068,30.9665,12.5204,-7.4087
373220,373220.KS,01515323,LG에너지솔루션,battery,2025,23671759000000.0,1346120000000.0,80803000000.0,67147953000000.0,37826277000000.0,29321676000000.0,18412127000000.0,16785357000000.0,3779307000000.0,4350407000000.0,4432277000000.0,-10881277000000.0,6285926000000.0,10998675000000.0,-6566398000000.0,129.0045,109.6916,5.6866,0.3413,0.2756,CFS,-7.6029,133.9504,-76.1363,-11.3687,23.6718,1.3461,0.0808,67.148,29.3217,10.9987,-6.5664
